1st,2nd,3rd,4th,5th,count
217572,217796,219978,218127,217605,301
219469,217605,218491,219978,218117,300
217796,219978,218127,217572,Null,299
217796,218127,219978,Null,Null,298
219978,217572,217796,217605,Null,298
219469,217605,219978,218491,217796,298
219978,219469,221183,217605,217572,297
219469,219978,218127,Null,Null,296
217572,219469,217796,217605,219978,295
219978,217572,218127,221183,217796,294
217605,219469,217572,Null,Null,293
217572,219978,217796,217605,221183,293
217605,219978,219469,221183,Null,292
217605,217572,219469,Null,Null,292
219978,217572,217605,217796,Null,290
219978,217572,217796,218127,217605,289
217572,219469,221183,217796,217605,288
219978,219469,217572,217605,Null,285
219978,217605,221183,219469,217572,284
219469,217605,219978,221183,Null,284
219469,217605,217796,Null,Null,284
219978,217605,218127,221183,Null,283
219978,219469,217572,217605,217796,282
219978,217572,217605,221183,217796,282
219469,219978,218491,217605,221141,281
219978,219469,217605,217796,221183,280
217572,221183,219469,218127,217605,279
217572,219469,221183,217796,219978,278
219978,219469,217796,217605,Null,278
219978,219469,217572,217796,217605,276
219978,217605,217572,219469,Null,275
219978,217572,218127,217796,221183,274
217572,219469,217605,217796,219978,273
217572,219469,219978,217796,218127,271
219469,218491,217605,221141,219978,271
217572,219469,218127,217796,217605,270
219978,217572,217796,217605,221183,269
217572,219978,219469,217605,217796,269
217572,219469,221183,217796,218127,268
219978,219469,218491,217605,217796,267
217572,218127,219469,217605,221183,266
219978,219469,218491,221183,217605,265
219978,217605,221183,218127,219469,264
221183,219469,Null,Null,Null,264
219978,221183,217605,219469,Null,264
217572,217796,219978,217605,221183,264
219469,217605,219978,218491,218117,263
217572,219469,221183,217605,217796,263
217796,221141,219978,Null,Null,263
219978,218127,217572,217796,Null,262
217605,217572,221183,Null,Null,261
217796,219978,217572,218127,221183,261
217572,219469,221183,218127,Null,261
219978,217605,217572,217796,Null,260
219978,217572,217796,219469,217605,260
219469,218491,217605,219978,217572,259
217796,221183,219978,Null,Null,259
219978,217605,217572,221183,Null,259
218127,219469,Null,Null,Null,258
217605,217796,217572,Null,Null,258
219978,217605,217572,221183,218127,258
219978,217605,219469,217572,217796,257
219469,217605,219978,217796,Null,256
217572,219469,217796,218127,219978,256
217796,221141,217572,Null,Null,254
217572,217796,219469,219978,217605,253
218127,217572,219978,217796,Null,253
217572,219469,217605,219978,221183,253
217572,219978,217796,217605,218127,252
219978,217796,218127,217572,Null,252
219978,219469,217796,217572,217605,251
219978,218127,219469,Null,Null,251
219978,217572,217605,221183,218127,251
217796,219978,218491,Null,Null,251
217572,219978,217605,221183,217796,250
219978,217605,221183,219469,218127,250
217572,219469,221183,218127,217796,249
219978,217796,217605,221183,Null,249
217605,219469,218491,Null,Null,249
217572,219469,218127,221183,218491,249
219469,219978,217605,217572,217796,248
217572,219469,217796,217605,221183,247
