CandidacyID,DefaultBallotName
218166,John Ruiz
218167,Peggy A. Morales
218168,Melissa Mark-Viverito
218174,Edward Gibbs
218176,Harry Rodriguez
218180,Sharase DeBouse
218190,Hilda Solomon
218192,Debra Markell
218198,Stephanie Arroyo
218205,Leilani Irvin
218277,Steven Matteo
218278,Jeffrey Omura
218284,Cynthia L. Doty
218285,Robert J. Botfeld
218303,Kristin Richardson Jordan
218305,Wilma Fernandez
218316,Susan Damplo
218321,Mary Ann Dorsa
218322,Peter A. Koo
218323,Laura Riley
218324,Martha Flores-Vazquez
218325,Charles M. Apelian
218328,Vernestine S. Sanders Pascal
218330,Daniel Muniz
218377,Gregory W. Meeks
218378,I. Daneek Miller
218379,June B. Bunch
218381,Roslin Spigner
218382,Alma J. Cave
218383,Billy Council
218384,Pamela F. Moore
218386,Leroy Manuel
218387,Darcel P. Chapman
218389,Wanda R. Manley
218390,Betty Lugo
218391,Leroy G. Comrie Jr.
218392,George A. Smith
218394,Michael L. Lambert
218395,Samuel Murray
218396,Carmine Couloute
218418,David M. Carr
218423,Yudelka Tapia
218436,Raymond Sanchez Jr.
218437,Aurelia Greene
218439,Latoya Joyner
218442,Vanessa L. Gibson
218446,America Fernandez
218451,Heman Ortiz
218453,Stephaine Jaquez
218456,Evelyn Rivera
218457,John F. Quaglione
218458,Sandra L. Thomas
218460,Lucretia Regina-Potter
218461,Petrona Graham
218462,Earnestine Glover
218489,Angela Fernandez
218490,Nayma Silver-Matos
218491,Dianne Morales
218493,Bill Perkins
218497,Keith Lilly
218519,Dalton Robinson
218520,Annie Wise
218521,Barrington Barrett
218522,Yvette Barrow
218523,Keenan O. Lambert
218524,Brenda Provost
218525,Henderson I. Wint
218526,Adlin J. Gallimore
218527,Monique R. Chandler-Waterman
218528,Nickolas A. Perry
218529,Jewel Brown
218531,Melba Brown
218532,Vivienne Bent
218534,Geneva Alston
218535,Hermine A. Perry
218536,Fernando Araujo
218537,Cory Provost
218538,Craig H. Goldsberry
218539,Anthony T. Jones
218540,Beulah Sears
218542,Francis X. Shea
218543,Pauline M. Yorke
218544,Kenturah Taylor
218545,Inga M. Oneale
218546,Ronnette Cox
218548,Carol Mahabeer
218549,Judith Destin
218550,Tamara Hurgus
218552,Louis David
218553,Esperanzer Burnett
218554,Dweynie Esther Paul
218555,Jo Anne Simon
218556,Rosemarie Montalbano
218566,Anthony Beckford
218576,Robert Waterman
218593,Crystal Hudson
218600,Victoria E. Cambranes
218601,April Somboun
218607,Carmen A. Pacheco
218621,Charles Barron
218649,Gardy Brazela
218674,Lisa Lewis
218675,Henry L. Butler
218714,Vladimir Dorgely
218715,Mona Ferrah
218718,Agur Noel
218719,Esther Louis
218720,Sabrina Dieujuste
218721,Michael R. Benedetto
218722,Vesta Louis
218723,Kerry Fellegara
218724,Felix Cesar
218725,Linda Drax Werner
218726,Thamar Ferdinand
218727,Marie Joan Pillard
218728,Mary Williams
218729,Kwame Afreh
218730,Ian Lewis-Belizaire
218731,Brenda D. Brown
218732,Lynn M. Gerbino
218733,Andrew Collins
218734,Ritha Pierre
218735,John Collazzi
218736,Marjorie Velazquez
218737,Anne Tallegrand
218738,Rodney Saunders
218739,Leah Richardson
218740,Alfred E. Lynch Jr.
218742,John Doyle
218744,Shanique Mcfarlane
218746,Rashidi Denson
218748,Ozni Lewis
218750,Courtney Nelson
218899,Gricel Ortiz-Thompson
218904,Barry J. Weinberg
218919,Sara Lind
218922,Joycelyn Taylor
218923,Carmen R. Quinones
218924,Sandra Williams
218926,Michael Walker
218928,Orlando Molina
218934,Carmen R. Quinones
218944,Carmen Ocasio
218947,Sandra  Williams
218949,Judith Medina
218951,Michael Walker
218978,David Gold
218989,Kim Moscaritolo
218996,Misba Abdin
219003,Keisha M. Alleyne
219046,Corey D. Johnson
219050,Edward Irizarry
219068,Josue Pierre
219159,Ari Kagan
219174,Andy J. Marte
219203,Johanna Garcia
219207,Charles Green
219209,Wilbert T. Lawton
219217,Inez Harvey
219218,Ana L. Melendez
219220,Dorothy E. Desuzia
219221,Harold J. Dumas
219223,Elizabeth C. Johnson
219225,Marie B McCullough
219226,Barbara B. Castro
219230,Ebony R. Young
219231,Almeta Denae Trammel
219232,Lynn C. Schulman
219233,Patricia A. McCollin
219234,Selvena N. Brooks-Powers
219239,Austin I. Shafran
219241,Sandra Ung
219244,Francisco P. Moya
219247,James F. Gennaro
219253,William A. Allen
219266,Tali Farhadian Weinstein
219271,Darma V. Diaz
219272,Maria Morillo
219273,Eliot L. Engel
219274,Randi Martos
219275,William Weitz
219276,Helen K. Morik
219277,Carmen Y. De La Rosa
219278,Michael Heller
219279,Teresa Colon
219280,Delores Dixon
219281,Jerald Kreppel
219282,Paul Ellis
219283,Kathryn Theobald
219284,Ira Bigeleisen
219285,Bruce Feld
219289,Alan Flacks
219291,Luis Roman
219292,Kenneth Sherrill
219293,Elizabeth A. Kellner
219295,Amy J. Porter
219296,Stephanie Pinto
219297,Alfred P. Placeres
219298,Mary B. Peppito
219299,Judith B. York
219300,Audrey Isaacs
219301,Catharine A. Grad
219302,Joella A.C. Jones
219303,Joshua Pepper
219304,Heather Ducharme
219305,Sharon S. Silberfarb
219306,Deborah Thomas
219308,Patrick S. Almonrode
219310,Carol L. Van Deusen
219315,Jesse Laymon
219317,Amit S. Bagga
219333,Judy D. Newton
219334,Manny De Los Santos
219336,Mariel De La Cruz
219346,Manny De Los Santos
219347,Elizabeth Batista
219348,Cecilia Anglero
219349,Elizabeth Balaguer
219350,Ramon De La Rosa
219351,Ana B. Santana
219352,Mariam N. James
219353,Maurice Edwards
219354,Ava Keefe
219355,Barbara M. Frazier
219356,Mary Richman
219357,Hector Vasquez
219358,Jose Louis Espiritusanto
219359,Fernando Mendez
219360,Brunilda L. Rodriguez
219361,Noris R. Casilla
219362,Iris Baltazar
219363,Juana E. Martinez-Reyes
219364,Licette Vasquez
219365,William Russell Moore
219366,Rosario Capellan
219367,Nerys Rodriguez
219368,Micaela Lugo
219369,Isabel Cuello
219370,Angela Rodriguez
219371,Josenia Dominguez
219373,Avery N. Pereira
219380,Lorenzo Brea
219384,Kerryanne C. Burke
219385,Edwin K. Wong
219388,Yi Andy Chen
219395,Japneet Singh
219405,James E. Behr
219410,Kamillah Hanks
219422,Jessica Simmons
219437,Kevin S. Parker
219447,Theo Bruce Chino Tavarez
